900000000,CMCI,2030
900000001,MBAX,6595
900000002,GEO,3862
900000003,PHIL,1400
900000004,KREN,3851
900000005,ENGL,3245
900000006,MATH,2135
900000007,SLHS,5282
900000008,THTR,4063
900000009,ASEN,3111
900000010,PHYS,7820
900000011,ECEN,4532
900000012,ASEN,4218
900000013,HUM,3093
900000014,MCE,4117
900000015,PMU,4147
900000016,HIST,4830
900000017,EME,5094
900000018,GEE,3400
900000019,DNC,3041
900000020,SOCY,1006
900000021,AREN,4506
900000022,MILR,1021
900000023,ECO,8848
900000024,APPM,8500
900000025,HIST,4728
900000026,PSCI,3183
900000027,INFO,4609
900000028,ECEN,5622
900000029,ASEN,3300
900000030,JRNL,4674
900000031,GEO,1962
900000032,CSCI,5922
900000033,APPM,1360
900000034,MATH,1212
900000035,ECO,4524
900000036,HIND,1011
900000037,SPAN,4120
900000038,PSCI,4221
900000039,APPM,2460
900000040,LING,5140
900000041,APRD,3301
900000042,CWC,4000
900000043,ECO,4818
900000044,ACCT,6450
900000045,CHIN,1012
900000046,FREN,5330
900000047,COM,2650
900000048,ECO,2010
900000049,HIST,4623
900000050,COM,4220
900000051,ENVD,1020
900000052,ENGL,3025
900000053,CSCI,3352
900000054,SPAN,2110
900000055,MATH,3510
900000056,CLAS,4091
900000057,CVEN,3246
900000058,LAW,7303
900000059,EDU,2125
900000060,CVEN,4333
900000061,AREN,2110
900000062,PSCI,2116
900000063,COM,4000
900000064,ATOC,4800
900000065,PHIL,3410
900000066,PHIL,4490
900000067,HIST,2326
900000068,ARTS,3124
900000069,PHYS,2210
900000070,CVEN,3161
900000071,GEOL,3430
900000072,EDU,4435
900000073,HIST,4128
900000074,AIRR,3020
900000075,DNC,5301
900000076,ARAB,3410
900000077,PMU,1626
900000078,HIST,4423
900000079,LING,1000
900000080,ASTR,7500
900000081,ATOC,3050
900000082,ECEN,4620
900000083,ECEN,5616
900000084,ACCT,4620
900000085,MDST,7051
900000086,ETHN,3314
900000087,JRNL,3614
900000088,ENVD,4112
900000089,COM,4300
900000090,MCD,4310
900000091,ATOC,7500
900000092,EMU,1307
900000093,LING,7800
900000094,EDU,6945
900000095,MUEL,2752
900000096,ENVD,1030
900000097,EDU,2910
900000098,GRM,3505
900000099,IPHY,3415
900000100,ARSC,1720
900000101,MKT,3100
900000102,CVEN,3698
900000103,MCD,4444
900000104,ATLS,2000
900000105,LING,5410
900000106,COM,3740
900000107,GEOL,5001
900000108,SPAN,3002
900000109,WRT,2090
900000110,SLHS,6660
900000111,MUS,2131
900000112,PSCI,3271
900000113,ATOC,5770
900000114,SCAN,1202
900000115,ECEN,5126
900000116,EBIO,6100
900000117,MUS,4443
900000118,GEO,5662
900000119,SLHS,3106
900000120,LAW,5646
900000121,MBAX,6531
900000122,GRM,1020
900000123,MUS,4336
900000124,HUM,4504
900000125,EBIO,3080
900000126,ARTS,5176
900000127,GEO,3742
900000128,HIST,1518
900000129,HUM,4011
900000130,IPHY,4580
900000131,JPNS,1020
900000132,PSCI,4002
900000133,MBAX,6280
900000134,THTR,2021
900000135,APPM,7100
900000136,RUSS,4020
900000137,MCE,5133
900000138,ASEN,5010
900000139,EDU,2150
900000140,GEO,3612
900000141,FREN,3500
900000142,ETHN,6101
900000143,MCD,3135
900000144,LAW,7031
900000145,CHE,4581
900000146,IPHY,2800
900000147,ACCT,3230
900000148,ENVS,5702
900000149,AIRR,2020
900000150,ITAL,4500
900000151,THTR,4555
900000152,SLHS,3014
900000153,CVEN,5564
900000154,HIST,4123
900000155,ACCT,4850
900000156,EME,4030
900000157,EBIO,1210
900000158,EDU,5255
900000159,ARTS,5126
900000160,ARTS,2022
900000161,PMU,1546
900000162,INDO,1120
900000163,ATLS,5250
900000164,MATH,5905
900000165,ENGL,1800
900000166,PSCI,3062
900000167,ASEN,6028
900000168,NAVR,4020
900000169,ARAB,3120
900000170,ECEN,4133
900000171,COM,3510
900000172,ARTH,3419
900000173,MCD,3450
900000174,RUSS,3241
900000175,ENGL,2717
900000176,GRM,3020
900000177,MKT,3201
900000178,DNC,1301
900000179,MATH,1112
900000180,ENVS,5510
900000181,NRS,5110
900000182,PSCI,4792
900000183,RLST,2610
900000184,ARTS,5303
900000185,MCD,2150
900000186,MCD,2161
900000187,LAW,7341
900000188,MUS,5156
900000189,PHIL,1100
900000190,MSBX,5225
900000191,PHYS,4410
900000192,PHYS,3320
900000193,SLHS,5242
900000194,ATOC,3600
900000195,ECEN,2260
900000196,BAD,2010
900000197,EDU,3570
900000198,CHE,5531
900000199,DNC,1000
900000000,LAW,7128
900000001,SPAN,3010
900000002,EDU,2500
900000003,ATLS,4010
900000004,LING,5800
900000005,ENVS,4800
900000006,EDU,4321
900000007,ECO,4794
900000008,CLAS,1110
900000009,JRNL,2000
900000010,PHYS,2170
900000011,ARTS,3423
900000012,APPM,1350
900000013,ATOC,1060
900000014,CHIN,3200
900000015,MBAX,6330
900000016,PSYC,2145
900000017,SPAN,4170
900000018,LING,4420
900000019,CSCI,2270
900000020,MUS,1554
900000021,LAW,6004
900000022,CVEN,2121
900000023,ATOC,5000
900000024,SOCY,4063
900000025,WRT,1160
900000026,EDU,5635
900000027,LING,6300
900000028,GEO,4023
900000029,ETHN,4951
900000030,APRD,3005
900000031,GEO,3023
900000032,ENVS,1001
900000033,CLAS,1051
900000034,MUS,5464
900000035,HIST,2015
900000036,PHIL,6200
900000037,ECEN,5813
900000038,MBAX,6600
900000039,GEO,4093
900000040,ARTS,3017
900000041,FREN,5350
900000042,CHE,6801
900000043,LAW,6103
900000044,ENGL,1230
900000045,ITAL,1010
900000046,PSCI,3123
900000047,BCO,1030
900000048,CVEN,7161
900000049,NRS,4092
900000050,MBAX,6640
900000051,ITAL,4600
900000052,APRD,4404
900000053,HIST,4366
900000054,LAW,8321
900000055,LING,5430
900000056,ENVD,2352
900000057,ETHN,2203
900000058,CHIN,5280
900000059,MDST,3001
900000060,THTR,3085
900000061,PSYC,6603
900000062,MUS,5071
900000063,CVEN,5393
900000064,LAW,8095
900000065,ETHN,3501
900000066,CHE,4521
900000067,RLST,4820
900000068,PSCI,3225
900000069,EBIO,4980
900000070,NRS,4132
900000071,APPM,4720
900000072,JRNL,4002
900000073,PHYS,1120
900000074,ANTH,3010
900000075,MATH,2510
900000076,SOCY,1022
900000077,SPAN,5220
900000078,PMU,1556
900000079,MUS,4313
900000080,ASEN,4028
900000081,LAW,7015
900000082,CVEN,4555
900000083,EME,5080
900000084,ENGL,1001
900000085,DNC,3043
900000086,CSCI,3010
900000087,EMU,1327
900000088,SOCY,1001
900000089,ASIA,4830
900000090,THTR,3045
900000091,LAW,6112
900000092,GEO,4003
900000093,AREN,3540
900000094,MCE,1025
900000095,ANTH,2100
900000096,CVEN,5131
900000097,CSCI,6502
900000098,NAVR,2020
900000099,ARC,3100
900000100,LAW,6722
900000101,DNC,1100
900000102,GEOL,3720
900000103,PHIL,4340
900000104,ATOC,3300
900000105,APRD,3104
900000106,EME,4825
