900000000,77
900000001,14
900000002,88
900000003,94
900000004,149
900000005,52
900000006,65
900000007,99
900000008,116
900000009,137
900000010,3
900000011,158
900000012,54
900000013,145
900000014,106
900000015,49
900000016,50
900000017,15
900000018,143
900000019,18
900000020,20
900000021,64
900000022,39
900000023,93
900000024,122
900000025,147
900000026,2
900000027,150
900000028,48
900000029,119
900000030,23
900000031,152
900000032,168
900000033,31
900000034,166
900000035,162
900000036,55
900000037,42
900000038,72
900000039,156
900000040,118
900000041,131
900000042,44
900000043,91
900000044,62
900000045,98
900000046,105
900000047,59
900000048,95
900000049,21
900000050,45
900000051,136
900000052,154
900000053,155
900000054,112
900000055,5
900000056,67
900000057,66
900000058,37
900000059,140
900000060,90
900000061,117
900000062,13
900000063,85
900000064,138
900000065,126
900000066,167
900000067,165
900000068,133
900000069,27
900000070,130
900000071,78
900000072,142
900000073,134
900000074,28
900000075,12
900000076,164
900000077,132
900000078,63
900000079,56
900000080,38
900000081,24
900000082,123
900000083,109
900000084,124
900000085,161
900000086,160
900000087,51
900000088,10
900000089,144
900000090,135
900000091,83
900000092,121
900000093,70
900000094,151
900000095,33
900000096,76
900000097,35
900000098,120
900000099,29
900000100,28
900000101,133
900000102,96
900000103,81
900000104,12
900000105,38
900000106,148
900000107,74
900000108,132
900000109,102
900000110,109
900000111,1
900000112,167
900000113,163
900000114,43
900000115,73
900000116,151
900000117,76
900000118,57
900000119,58
900000120,75
900000121,63
900000122,164
900000123,11
900000124,78
900000125,142
900000126,125
900000127,69
900000128,113
900000129,108
900000130,130
900000131,107
900000132,19
900000133,104
900000134,80
900000135,134
900000136,24
900000137,40
900000138,47
900000139,153
900000140,16
900000141,86
900000142,111
900000143,13
900000144,135
900000145,17
900000146,56
900000147,157
900000148,124
900000149,115
900000150,30
900000151,46
900000152,121
900000153,32
900000154,41
900000155,110
900000156,141
900000157,84
900000158,34
900000159,10
900000160,92
900000161,25
900000162,79
900000163,33
900000164,36
900000165,161
900000166,51
900000167,53
900000168,83
900000169,71
900000170,6
900000171,127
900000172,85
900000173,35
900000174,120
900000175,29
900000176,89
900000177,123
900000178,101
900000179,117
900000180,61
900000181,4
900000182,114
900000183,7
900000184,60
900000185,128
900000186,68
900000187,129
900000188,160
900000189,144
900000190,97
900000191,126
900000192,27
900000193,139
900000194,100
900000195,22
900000196,103
900000197,146
900000198,165
900000199,138
